project_county_name,project_state,total_loans,kabbage_total,total_loans/kabbage_total * 100,state_code,state_name,county_code,county,fips_code
ABBEVILLE,SC,324,8,4050,45,South Carolina,001,Abbeville County,45001
ACADIA,LA,1306,8,16325,22,Louisiana,001,Acadia Parish,22001
ACCOMACK,VA,462,1,46200,51,Virginia,001,Accomack County,51001
ADA,ID,11258,51,22074.50980392157,16,Idaho,001,Ada County,16001
ADAIR,KY,962,2,48100,21,Kentucky,001,Adair County,21001
ADAMS,CO,7481,146,5123.972602739726,08,Colorado,001,Adams County,08001
ADAMS,IL,2240,7,32000,17,Illinois,001,Adams County,17001
ADAMS,IN,563,2,28150,18,Indiana,001,Adams County,18001
ADAMS,MS,1096,25,4384,28,Mississippi,001,Adams County,28001
ADAMS,OH,432,4,10800,39,Ohio,001,Adams County,39001
ADAMS,PA,1313,5,26260.000000000004,42,Pennsylvania,001,Adams County,42001
ADAMS,WA,313,1,31300,53,Washington,001,Adams County,53001
AIKEN,SC,2415,34,7102.941176470588,45,South Carolina,003,Aiken County,45003
ALACHUA,FL,5540,156,3551.2820512820513,12,Florida,001,Alachua County,12001
ALBANY,NY,6413,64,10020.3125,36,New York,001,Albany County,36001
ALBANY,WY,724,3,24133.333333333336,56,Wyoming,001,Albany County,56001
ALBEMARLE,VA,1803,26,6934.615384615384,51,Virginia,003,Albemarle County,51003
ALCONA,MI,134,2,6700,26,Michigan,001,Alcona County,26001
ALCORN,MS,944,1,94400,28,Mississippi,003,Alcorn County,28003
ALEUTIANS EAST,AK,72,1,7200,02,Alaska,013,Aleutians East Borough,02013
ALEUTIANS WEST,AK,47,1,4700,NA,NA,NA,NA,NA
ALEXANDRIA CITY,VA,4860,155,3135.483870967742,51,Virginia,510,Alexandria city,51510
ALLAMAKEE,IA,973,4,24325,19,Iowa,005,Allamakee County,19005
ALLEGAN,MI,1637,9,18188.888888888887,26,Michigan,005,Allegan County,26005
ALLEGANY,MD,880,11,8000,24,Maryland,001,Allegany County,24001
ALLEGANY,NY,393,5,7859.999999999999,36,New York,003,Allegany County,36003
ALLEGHENY,PA,24345,246,9896.341463414634,42,Pennsylvania,003,Allegheny County,42003
ALLEN,IN,6973,66,10565.151515151516,18,Indiana,003,Allen County,18003
ALLEN,KS,421,6,7016.666666666667,20,Kansas,001,Allen County,20001
ALLEN,KY,405,1,40500,21,Kentucky,003,Allen County,21003
ALLEN,LA,236,4,5900,22,Louisiana,003,Allen Parish,22003
ALLEN,OH,1891,5,37820,39,Ohio,003,Allen County,39003
ALLENDALE,SC,226,1,22600,45,South Carolina,005,Allendale County,45005
ALPENA,MI,465,3,15500,26,Michigan,007,Alpena County,26007
AMELIA,VA,230,2,11500,51,Virginia,007,Amelia County,51007
AMHERST,VA,258,4,6450,51,Virginia,009,Amherst County,51009
AMITE,MS,360,2,18000,28,Mississippi,005,Amite County,28005
ANCHORAGE,AK,6315,47,13436.17021276596,NA,NA,NA,NA,NA
ANDERSON,KS,436,1,43600,20,Kansas,003,Anderson County,20003
ANDERSON,KY,305,3,10166.666666666668,21,Kentucky,005,Anderson County,21005
ANDERSON,SC,2921,31,9422.58064516129,45,South Carolina,007,Anderson County,45007
ANDERSON,TN,961,14,6864.285714285714,47,Tennessee,001,Anderson County,47001
ANDERSON,TX,739,6,12316.666666666668,48,Texas,001,Anderson County,48001
ANDREWS,TX,401,1,40100,48,Texas,003,Andrews County,48003
ANDROSCOGGIN,ME,1682,10,16820,23,Maine,001,Androscoggin County,23001
ANGELINA,TX,1527,10,15269.999999999998,48,Texas,005,Angelina County,48005
ANNE ARUNDEL,MD,11750,257,4571.984435797665,24,Maryland,003,Anne Arundel County,24003
ANOKA,MN,5853,50,11706,27,Minnesota,003,Anoka County,27003
ANTRIM,MI,357,2,17850,26,Michigan,009,Antrim County,26009
APACHE,AZ,210,3,7000,04,Arizona,001,Apache County,04001
APPLING,GA,516,3,17200,13,Georgia,001,Appling County,13001
APPOMATTOX,VA,253,3,8433.333333333332,51,Virginia,011,Appomattox County,51011
ARANSAS,TX,444,4,11100,48,Texas,007,Aransas County,48007
ARAPAHOE,CO,15751,269,5855.39033457249,08,Colorado,005,Arapahoe County,08005
ARCHER,TX,318,2,15900,48,Texas,009,Archer County,48009
ARKANSAS,AR,579,2,28950,05,Arkansas,001,Arkansas County,05001
ARLINGTON,VA,4673,109,4287.155963302753,51,Virginia,013,Arlington County,51013
ARMSTRONG,PA,734,5,14680.000000000002,42,Pennsylvania,005,Armstrong County,42005
AROOSTOOK,ME,1843,1,184300,23,Maine,003,Aroostook County,23003
ASCENSION,LA,3808,33,11539.39393939394,22,Louisiana,005,Ascension Parish,22005
ASHLAND,OH,876,6,14600,39,Ohio,005,Ashland County,39005
ASHLAND,WI,384,2,19200,55,Wisconsin,003,Ashland County,55003
ASHLEY,AR,422,4,10550,05,Arkansas,003,Ashley County,05003
ASHTABULA,OH,1044,4,26100,39,Ohio,007,Ashtabula County,39007
ASSUMPTION,LA,902,4,22550,22,Louisiana,007,Assumption Parish,22007
ATASCOSA,TX,722,8,9025,48,Texas,013,Atascosa County,48013
ATLANTIC,NJ,4985,97,5139.1752577319585,34,New Jersey,001,Atlantic County,34001
ATTALA,MS,445,5,8900,28,Mississippi,007,Attala County,28007
