"","zip_code","first_dose","second_dose","single_dose","atleast_one_dose","fully_vaccinated","date"
"1",685,3,3,1,4,4,2021-11-18
"2",716,4,1,1,5,2,2021-11-18
"3",767,1,1,1,2,2,2021-11-18
"4",801,5,3,2,7,5,2021-11-18
"5",1002,23,16,2,25,18,2021-11-18
"6",1301,5,4,1,6,5,2021-11-18
"7",1450,7,6,1,8,7,2021-11-18
"8",1520,3,3,1,4,4,2021-11-18
"9",1604,16,10,2,18,12,2021-11-18
"10",1701,18,14,1,19,15,2021-11-18
"11",1702,19,13,1,20,14,2021-11-18
"12",1720,23,16,1,24,17,2021-11-18
"13",1803,11,7,1,12,8,2021-11-18
"14",1851,7,4,1,8,5,2021-11-18
"15",1852,13,8,1,14,9,2021-11-18
"16",1902,5,3,1,6,4,2021-11-18
"17",1938,1,1,1,2,2,2021-11-18
"18",1985,3,3,1,4,4,2021-11-18
"19",2021,14,8,1,15,9,2021-11-18
"20",2052,9,8,3,12,11,2021-11-18
"21",2053,7,4,1,8,5,2021-11-18
"22",2120,19,10,1,20,11,2021-11-18
"23",2136,12,9,3,15,12,2021-11-18
"24",2139,44,27,7,51,34,2021-11-18
"25",2155,34,21,3,37,24,2021-11-18
